epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
75,0.158176,0.158176,0.000000,1.337801,96.0232,0.0681,3.1031,0.0334
76,0.152615,0.152615,0.000000,1.353343,86.4163,0.0681,3.0707,0.0346
77,0.159391,0.159391,0.000000,1.350608,89.3450,0.0659,3.2277,0.0281
78,0.146845,0.146845,0.000000,1.307363,86.5148,0.0727,3.2359,0.0292
79,0.183936,0.183936,0.000000,1.398607,105.4777,0.0685,3.0677,0.0325
80,0.168378,0.168378,0.000000,1.369172,98.2397,0.0652,3.1389,0.0301
81,0.160901,0.160901,0.000000,1.357506,94.7591,0.0664,3.1097,0.0307
82,0.150398,0.150398,0.000000,1.306726,93.1088,0.0658,3.1625,0.0290
83,0.159268,0.159268,0.000000,1.333883,93.1696,0.0607,3.2313,0.0265
84,0.161185,0.161185,0.000000,1.343506,87.4080,0.0600,3.3222,0.0265
85,0.156799,0.156799,0.000000,1.330715,94.8480,0.0607,3.2117,0.0286
86,0.164952,0.164952,0.000000,1.352283,102.7278,0.0617,3.1520,0.0295
87,0.167593,0.167593,0.000000,1.365682,96.2388,0.0605,3.2947,0.0249
88,0.164440,0.164440,0.000000,1.361109,85.8168,0.0592,3.0522,0.0289
89,0.159376,0.159376,0.000000,1.369035,94.6526,0.0600,3.2945,0.0243
90,0.156841,0.156841,0.000000,1.315238,89.9237,0.0597,3.2072,0.0268
91,0.159459,0.159459,0.000000,1.350164,87.9715,0.0587,3.2227,0.0263
92,0.158730,0.158730,0.000000,1.342527,94.2779,0.0576,3.0703,0.0285
93,0.155698,0.155698,0.000000,1.339079,88.6753,0.0611,3.1930,0.0262
94,0.167073,0.167073,0.000000,1.360062,91.4249,0.0641,3.1846,0.0263
95,0.170832,0.170832,0.000000,1.366564,100.8255,0.0601,2.9878,0.0298
96,0.165107,0.165107,0.000000,1.382313,91.0275,0.0593,3.2622,0.0244
